PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
95620,,0.08183171869685602,0.8608383492099432,0.9448395107054296,False,False,Not Significant
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,1.7361486301162445,0.5532532885499558,0.7660595172930053,False,False,Not Significant
A0AAG2SUK6;Q16540,;MRPL23,1.6604512597791823,0.3910022189557706,0.641620554760231,False,False,Not Significant
A0JLT2,MED19,-0.008298660025614524,0.9967246930855657,0.9991642189836173,False,False,Not Significant
A1KXE4,FAM168B,9.545889193459512,2.6830367351333586e-05,0.03550441944088452,True,True,High Confidence (FDR < 0.05)
A1L0T0,ILVBL,0.8058912442224385,0.3910022189557704,0.641620554760231,False,False,Not Significant
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,0.7982211913023081,0.2043811008779087,0.5619448046360278,False,False,Not Significant
A6NCN2,KRT87P,-1.774774957633011,0.3910022189557704,0.641620554760231,False,False,Not Significant
A6NDG6,PGP,1.2414931999762508,0.3910022189557706,0.641620554760231,False,False,Not Significant
A6NIZ1;P61224;P62834,RAP1BL;RAP1B;RAP1A,-0.8360759348134144,0.6742770082756145,0.846227376023937,False,False,Not Significant
A6NK06,ACOD1,3.394119228121732,0.18170341138404256,0.5522606915850853,False,False,Not Significant
A6NKT7;O14715;P49792;Q7Z3J3;Q99666,RGPD3;RGPD8;RANBP2;RGPD4;RGPD5,1.0509781706668262,0.6394044915851133,0.8209712387239048,False,False,Not Significant
A8MVJ9;Q9NWY4,;HPF1,2.0534147096879614,0.13365298676165718,0.5522606915850853,False,False,Not Significant
A8MWD9;P62308,SNRPGP15;SNRPG,1.108417468201318,0.3910022189557707,0.641620554760231,False,False,Not Significant
B5ME19;Q99613,EIF3CL;EIF3C,0.7964664728545667,0.27380346374915,0.641620554760231,False,False,Not Significant
B9A064;P0CG04;P0DOY2;P0DOY3,IGLL5;IGLC1;IGLC2;IGLC3,1.8951541423983254,0.5479897242748911,0.7640398634439834,False,False,Not Significant
E9PAV3,NACA,1.0895657262765663,0.11147610599754731,0.50742133867111,False,False,Not Significant
E9PRG8,C11orf98,-1.083372444225521,0.2862178386011874,0.641620554760231,False,False,Not Significant
O00148,DDX39A,-0.4952479845897759,0.28836160783894227,0.641620554760231,False,False,Not Significant
O00154,ACOT7,0.17468339382595843,0.7776554931367933,0.9111267620667272,False,False,Not Significant
O00159,MYO1C,0.17100358635915835,0.8453452268636635,0.9396795549858815,False,False,Not Significant
O00178,GTPBP1,3.0029676008651314,0.1826781771526964,0.5522606915850853,False,False,Not Significant
O00203,AP3B1,1.5953358229559003,0.5225218110653698,0.7493700578081857,False,False,Not Significant
O00213,APBB1,-1.7920505749010056,0.3853262303537612,0.641620554760231,False,False,Not Significant
O00217,NDUFS8,2.739863003152195,0.18173933564121839,0.5522606915850853,False,False,Not Significant
O00231,PSMD11,-0.015171438815199334,0.9932975318257037,0.9991642189836173,False,False,Not Significant
O00257,CBX4,-1.592483955052221,0.3133650508796291,0.641620554760231,False,False,Not Significant
O00299,CLIC1,-0.8857202165444531,0.7088423244532933,0.8667874246010172,False,False,Not Significant
O00303,EIF3F,0.0878621862287785,0.8970751676476729,0.961292503313721,False,False,Not Significant
O00410,IPO5,-0.1871299094959138,0.5815011967169366,0.7873048572679049,False,False,Not Significant
O00422,SAP18,2.7542901844037955,0.24699531963216134,0.6090339274416662,False,False,Not Significant
O00425,IGF2BP3,0.2827554522912967,0.8790820557278942,0.9505444444673643,False,False,Not Significant
O00442,RTCA,-1.4385312125370442,0.45652948698171947,0.6967952273285579,False,False,Not Significant
O00443,PIK3C2A,0.8971554023000944,0.3910022189557705,0.641620554760231,False,False,Not Significant
O00483,NDUFA4,5.463354269645751,0.05855746659554652,0.4599799269233249,False,False,Not Significant
O00487,PSMD14,2.2675348780336226,0.38202241745950294,0.641620554760231,False,False,Not Significant
O00488,ZNF593,2.6374317199292574,0.18128814927332734,0.5522606915850853,False,False,Not Significant
O00505,KPNA3,-1.260216408552253,0.38462444652758726,0.641620554760231,False,False,Not Significant
O00507;Q93008,USP9Y;USP9X,1.6345807419042213,0.3910022189557706,0.641620554760231,False,False,Not Significant
O00541,PES1,1.6189522158995109,0.3910022189557705,0.641620554760231,False,False,Not Significant
O00567,NOP56,0.6548513082178955,0.33027329106145337,0.641620554760231,False,False,Not Significant
O00571,DDX3X,1.0531218571625853,0.007120731963500257,0.334183317321512,True,False,Exploratory (Raw P < 0.05)
O00587,MFNG,4.323302963069637,0.14626743325499117,0.5522606915850853,False,False,Not Significant
O00622,CCN1,-3.439472794970655,0.3917761245291701,0.641620554760231,False,False,Not Significant
O00743,PPP6C,0.002501833463571801,0.9989229124305531,0.9991642189836173,False,False,Not Significant
O00763,ACACB,0.5002648340898954,0.24059914759438578,0.6062463659252094,False,False,Not Significant
