PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
95620,,-0.5796772908390935,0.22870081604024992,0.8477277197949515,False,False,Not Significant
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,-0.9444606856863622,0.35774183898739925,0.8477277197949515,False,False,Not Significant
A0AAG2SUK6;Q16540,;MRPL23,1.6604512597791823,0.3910022189557706,0.8477277197949515,False,False,Not Significant
A0JLT2,MED19,-1.003941748289881,0.6314992607829324,0.904004431535234,False,False,Not Significant
A1KXE4,FAM168B,2.491849817741028,0.37583195663358754,0.8477277197949515,False,False,Not Significant
A1L0T0,ILVBL,-0.905579081108782,0.5052997955685828,0.8738687707641875,False,False,Not Significant
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,0.631122871896026,0.18621069272966453,0.8477277197949515,False,False,Not Significant
A6NDG6,PGP,-3.237651919839896,0.15844103614491362,0.8477277197949515,False,False,Not Significant
A6NIZ1;P61224;P62834,RAP1BL;RAP1B;RAP1A,-1.3081689193209431,0.5215696742720474,0.8783735627057607,False,False,Not Significant
A6NK06,ACOD1,0.27150955615490036,0.9229607314400851,0.992588799436721,False,False,Not Significant
A6NKT7;O14715;P49792;Q7Z3J3;Q99666,RGPD3;RGPD8;RANBP2;RGPD4;RGPD5,-1.1171576653725799,0.5863553410098893,0.8882347094283659,False,False,Not Significant
A8K2U0,A2ML1,-2.7221616195382126,0.18874735515909918,0.8477277197949515,False,False,Not Significant
A8MVJ9;Q9NWY4,;HPF1,1.400397135799786,0.3262454503587196,0.8477277197949515,False,False,Not Significant
A8MWD9;P62308,SNRPGP15;SNRPG,1.108417468201318,0.3910022189557707,0.8477277197949515,False,False,Not Significant
B5ME19;Q99613,EIF3CL;EIF3C,0.05031257346884033,0.9430223722519852,0.9927134057006627,False,False,Not Significant
B9A064;P0CG04;P0DOY2;P0DOY3,IGLL5;IGLC1;IGLC2;IGLC3,-0.1673053325074605,0.9547934262295827,0.9952282025957996,False,False,Not Significant
E9PAV3,NACA,0.8129607595392869,0.09498608483007207,0.8477277197949515,False,False,Not Significant
E9PRG8,C11orf98,-0.3128332914531322,0.26822553002043154,0.8477277197949515,False,False,Not Significant
O00148,DDX39A,-0.20614952603150982,0.8201177480585384,0.9694296341902086,False,False,Not Significant
O00154,ACOT7,-0.8186398487925093,0.15011269341760944,0.8477277197949515,False,False,Not Significant
O00159,MYO1C,-0.2500419852827038,0.5938781098843633,0.8916721656530219,False,False,Not Significant
O00170,AIP,-5.385725730534639,0.06215595678133935,0.8477277197949515,False,False,Not Significant
O00178,GTPBP1,-0.2761257134634496,0.9000973748826037,0.992588799436721,False,False,Not Significant
O00203,AP3B1,-2.678782671984175,0.24481435528709639,0.8477277197949515,False,False,Not Significant
O00213,APBB1,-1.4561279146892865,0.43966385393637586,0.8558143881579856,False,False,Not Significant
O00217,NDUFS8,-0.17886374333284394,0.9409093808346485,0.9927134057006627,False,False,Not Significant
O00231,PSMD11,-1.067717010525062,0.5744006823469805,0.8882347094283659,False,False,Not Significant
O00257,CBX4,-2.2666622065887427,0.17960424768016678,0.8477277197949515,False,False,Not Significant
O00299,CLIC1,-1.8835061433791647,0.4750021314385718,0.8610338471647329,False,False,Not Significant
O00303,EIF3F,-1.4160519655430086,0.07380258859449555,0.8477277197949515,False,False,Not Significant
O00410,IPO5,-0.09954535261254094,0.8647611981270898,0.984125745706662,False,False,Not Significant
O00422,SAP18,-0.18090319779429098,0.9268194441553161,0.992588799436721,False,False,Not Significant
O00425,IGF2BP3,-0.8693022449455601,0.5571070369484094,0.8865069808642245,False,False,Not Significant
O00442,RTCA,-1.7313160402438443,0.4106948277008747,0.8482577095291921,False,False,Not Significant
O00443,PIK3C2A,-1.242117987337351,0.45297132849684246,0.8570371468528399,False,False,Not Significant
O00483,NDUFA4,0.2742376925567136,0.917043272565268,0.992588799436721,False,False,Not Significant
O00487,PSMD14,-2.4481850750564114,0.18330438070882807,0.8477277197949515,False,False,Not Significant
O00488,ZNF593,-0.35938926227248125,0.6322952344164979,0.904004431535234,False,False,Not Significant
O00505,KPNA3,-2.3376465901036356,0.1102658847293455,0.8477277197949515,False,False,Not Significant
O00507;Q93008,USP9Y;USP9X,1.6345807419042213,0.3910022189557706,0.8477277197949515,False,False,Not Significant
O00541,PES1,-1.8642076889561794,0.39000155548508025,0.8477277197949515,False,False,Not Significant
O00566,MPHOSPH10,-0.8977896179717447,0.3910022189557705,0.8477277197949515,False,False,Not Significant
O00567,NOP56,-0.5264626553885137,0.15018366904836572,0.8477277197949515,False,False,Not Significant
O00571,DDX3X,0.09703543111963953,0.8350803231707011,0.9727763313947758,False,False,Not Significant
O00587,MFNG,1.0462143119157172,0.7198403912884598,0.9438791134390118,False,False,Not Significant
O00622,CCN1,0.10111885907713081,0.9718105078010679,0.9993212133993129,False,False,Not Significant
O00743,PPP6C,-2.0204948417226856,0.27607369530371745,0.8477277197949515,False,False,Not Significant
O00763,ACACB,0.035138404169392956,0.9421337121590397,0.9927134057006627,False,False,Not Significant
O00767,SCD,0.15590756547955031,0.9556004359591205,0.9952282025957996,False,False,Not Significant
O14579,COPE,-0.979314329014878,0.6345625284777007,0.9063360486983408,False,False,Not Significant
O14617,AP3D1,-1.5051335887346124,0.3910022189557705,0.8477277197949515,False,False,Not Significant
O14654,IRS4,-0.4722741858441193,0.7941147964349384,0.962399549041151,False,False,Not Significant
O14744,PRMT5,-2.6101647418766496,0.18716658795817434,0.8477277197949515,False,False,Not Significant
O14802,POLR3A,-2.380115045785386,0.20095773847736137,0.8477277197949515,False,False,Not Significant
O14818,PSMA7,-0.3499584704464418,0.4572845269599715,0.8581499724555386,False,False,Not Significant
O14828,SCAMP3,0.4042764084623274,0.4237175826241974,0.8498223065589536,False,False,Not Significant
O14925;Q5SRD1,TIMM23;TIMM23B,-3.386019700114087,0.18352819683895386,0.8477277197949515,False,False,Not Significant
O14979,HNRNPDL,-0.8467647048529603,0.09876689447677647,0.8477277197949515,False,False,Not Significant
O14980,XPO1,0.3484809146394072,0.6271446456226162,0.902490596570844,False,False,Not Significant
O15042,U2SURP,-0.04192479725536202,0.9857348350297355,0.9993212133993129,False,False,Not Significant
O15121,DEGS1,-1.269780251808116,0.5545993553411913,0.8865069808642245,False,False,Not Significant
O15143,ARPC1B,-1.7862567902126978,0.6432499905708662,0.9150729136592541,False,False,Not Significant
O15145,ARPC3,-2.2148181334536146,0.27352839467733914,0.8477277197949515,False,False,Not Significant
O15212,PFDN6,0.17365829024169788,0.9688863632597794,0.9993212133993129,False,False,Not Significant
O15213,WDR46,-0.4816406955781325,0.18826568071386082,0.8477277197949515,False,False,Not Significant
O15255,RTL8C,-1.6803629061163703,0.35567727291171736,0.8477277197949515,False,False,Not Significant
O15260,SURF4,0.571758296414683,0.7877441291998636,0.9604003766957241,False,False,Not Significant
O15347,HMGB3,-1.5880729036994516,0.18674971105629476,0.8477277197949515,False,False,Not Significant
O15371,EIF3D,-0.020120639227281245,0.9452954471343581,0.9934322632614951,False,False,Not Significant
