PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
95620,,0.6615090095359495,0.11777187045808145,0.4029742309910518,False,False,Not Significant
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,2.6806093158026068,0.37095955924779,0.575529253681259,False,False,Not Significant
A0JLT2,MED19,0.9956430882642664,0.212940433438621,0.45547379720405945,False,False,Not Significant
A1KXE4,FAM168B,7.054039375718484,0.060468250983568644,0.31175406269954126,False,False,Not Significant
A1L0T0,ILVBL,1.7114703253312205,0.1817361406011174,0.44155582390206916,False,False,Not Significant
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,0.16709831940628206,0.7204219949511381,0.8193715219685234,False,False,Not Significant
A6NCN2,KRT87P,-1.774774957633011,0.3910022189557704,0.575529253681259,False,False,Not Significant
A6NDG6,PGP,4.479145119816147,0.06426780309753059,0.31175406269954126,False,False,Not Significant
A6NIZ1;P61224;P62834,RAP1BL;RAP1B;RAP1A,0.4720929845075288,0.5730097070661094,0.7146133111382853,False,False,Not Significant
A6NK06,ACOD1,3.1226096719668317,0.18925433048024523,0.44155582390206916,False,False,Not Significant
A6NKT7;O14715;P49792;Q7Z3J3;Q99666,RGPD3;RGPD8;RANBP2;RGPD4;RGPD5,2.168135836039406,0.31479988069216674,0.5614063363477432,False,False,Not Significant
A8K2U0,A2ML1,2.7221616195382126,0.18874735515909918,0.44155582390206916,False,False,Not Significant
A8MVJ9;Q9NWY4,;HPF1,0.6530175738881754,0.687460670716207,0.7946484161095095,False,False,Not Significant
B5ME19;Q99613,EIF3CL;EIF3C,0.7461538993857264,0.14340512878499706,0.44155582390206916,False,False,Not Significant
B9A064;P0CG04;P0DOY2;P0DOY3,IGLL5;IGLC1;IGLC2;IGLC3,2.062459474905786,0.5199853256518756,0.6742666860101244,False,False,Not Significant
E9PAV3,NACA,0.2766049667372794,0.6487444269855791,0.7642446827051415,False,False,Not Significant
E9PRG8,C11orf98,-0.7705391527723888,0.4304467640347207,0.6040759344629976,False,False,Not Significant
O00148,DDX39A,-0.2890984585582661,0.7538877055013875,0.8425453756826873,False,False,Not Significant
O00154,ACOT7,0.9933232426184677,0.10601877912380198,0.38185959429171773,False,False,Not Significant
O00159,MYO1C,0.4210455716418622,0.6103106029647278,0.7361156846661453,False,False,Not Significant
O00170,AIP,5.385725730534639,0.06215595678133935,0.31175406269954126,False,False,Not Significant
O00178,GTPBP1,3.279093314328581,0.06773745966279374,0.31655525703800635,False,False,Not Significant
O00203,AP3B1,4.274118494940075,0.05440516208693427,0.31175406269954126,False,False,Not Significant
O00213,APBB1,-0.3359226602117191,0.8818131605590471,0.930777605838027,False,False,Not Significant
O00217,NDUFS8,2.918726746485039,0.18233627320848372,0.44155582390206916,False,False,Not Significant
O00231,PSMD11,1.0525455717098626,0.5817688676165442,0.7196076059500245,False,False,Not Significant
O00257,CBX4,0.6741782515365218,0.1838699203051781,0.44155582390206916,False,False,Not Significant
O00299,CLIC1,0.9977859268347116,0.6598869179297638,0.7729550439886514,False,False,Not Significant
O00303,EIF3F,1.5039141517717871,0.014707479533755239,0.22155096829571722,True,False,Exploratory (Raw P < 0.05)
O00410,IPO5,-0.08758455688337285,0.8653795402064416,0.9213364127310687,False,False,Not Significant
O00422,SAP18,2.9351933821980865,0.11615378234086485,0.40115550193820637,False,False,Not Significant
O00425,IGF2BP3,1.1520576972368568,0.4393746393115334,0.6087617311791891,False,False,Not Significant
O00442,RTCA,0.29278482770680014,0.8970734262140528,0.939143436723859,False,False,Not Significant
O00443,PIK3C2A,2.139273389637445,0.18514719129610402,0.44155582390206916,False,False,Not Significant
O00483,NDUFA4,5.189116577089037,0.058160193458714614,0.31175406269954126,False,False,Not Significant
O00487,PSMD14,4.715719953090034,0.08968983844180192,0.3451109000912813,False,False,Not Significant
O00488,ZNF593,2.9968209822017386,0.14202541311605044,0.44155582390206916,False,False,Not Significant
O00505,KPNA3,1.0774301815513825,0.5062561194397981,0.6625945515460564,False,False,Not Significant
O00541,PES1,3.48315990485569,0.05866493979910904,0.31175406269954126,False,False,Not Significant
O00566,MPHOSPH10,0.8977896179717447,0.3910022189557705,0.575529253681259,False,False,Not Significant
O00567,NOP56,1.1813139636064092,0.11614340397239943,0.40115550193820637,False,False,Not Significant
O00571,DDX3X,0.9560864260429458,0.09330329431880188,0.35174980160924874,False,False,Not Significant
O00587,MFNG,3.27708865115392,0.23826943961620625,0.4843175991172236,False,False,Not Significant
O00622,CCN1,-3.5405916540477858,0.38166839657710444,0.575529253681259,False,False,Not Significant
O00743,PPP6C,2.0229966751862576,0.2750398044386213,0.5234628536089889,False,False,Not Significant
O00763,ACACB,0.46512642992050246,0.239820362862975,0.4858163573876575,False,False,Not Significant
O00767,SCD,5.570314386122298,0.05859260055429559,0.31175406269954126,False,False,Not Significant
O14579,COPE,0.5409785724479832,0.4742135391846329,0.6389023515560801,False,False,Not Significant
O14617,AP3D1,0.20738303581539697,0.9203628975540634,0.9554500461411686,False,False,Not Significant
O14654,IRS4,4.111502088198078,0.013067338642204758,0.20333353315782346,True,False,Exploratory (Raw P < 0.05)
O14744,PRMT5,2.092482800532201,0.2712043614285141,0.5196554476086279,False,False,Not Significant
O14802,POLR3A,3.9823721127612353,0.0578325291712423,0.31175406269954126,False,False,Not Significant
O14818,PSMA7,6.4459333792599605,0.00026095429536158267,0.024420466699204176,True,True,High Confidence (FDR < 0.05)
O14828,SCAMP3,2.6392136162437776,0.07812538910120193,0.3302255252755281,False,False,Not Significant
O14925;Q5SRD1,TIMM23;TIMM23B,5.5447311860972945,0.015374820111109657,0.2244406729621781,True,False,Exploratory (Raw P < 0.05)
O14979,HNRNPDL,0.1404581605548998,0.8267534423341879,0.8935583226285995,False,False,Not Significant
O14980,XPO1,0.43625716181661645,0.5467297607811362,0.6922164666043328,False,False,Not Significant
O15042,U2SURP,1.684202388398016,0.5119781703377788,0.6651019166956833,False,False,Not Significant
O15121,DEGS1,1.3357083477343572,0.5272039554738687,0.6790484836747839,False,False,Not Significant
O15143,ARPC1B,3.767423217602173,0.34939343267355394,0.575529253681259,False,False,Not Significant
O15145,ARPC3,3.9723605058557405,0.019811103817222554,0.25218362115176296,True,False,Exploratory (Raw P < 0.05)
O15212,PFDN6,2.9315728902355995,0.3910022189557705,0.575529253681259,False,False,Not Significant
O15213,WDR46,0.012919197754781564,0.9857179110208873,0.9899124553231039,False,False,Not Significant
O15255,RTL8C,2.480094008102068,0.1820031837020234,0.44155582390206916,False,False,Not Significant
O15260,SURF4,0.7561919741427392,0.7732469443190836,0.8574139962065954,False,False,Not Significant
O15347,HMGB3,1.9258425667169545,0.27466654479916547,0.5234628536089889,False,False,Not Significant
O15371,EIF3D,0.7931433580770468,0.016538860790207124,0.23637186046440498,False,False,Not Significant
O15511,ARPC5,2.2348693994701527,0.1890450720986484,0.44155582390206916,False,False,Not Significant
O43143,DHX15,0.5545811552645104,0.08104159999223685,0.33547197805453727,False,False,Not Significant
O43175,PHGDH,1.3505300184414946,0.005244078451340969,0.11738301492213708,True,False,Exploratory (Raw P < 0.05)
O43242,PSMD3,1.3092239964443966,0.006080009530611358,0.12849691784098033,True,False,Exploratory (Raw P < 0.05)
O43264,ZW10,1.752974183370552,0.41901639205257696,0.5951125487928274,False,False,Not Significant
O43290,SART1,4.783362629269425,0.004530071075577065,0.10872170581384956,True,False,Exploratory (Raw P < 0.05)
O43314,PPIP5K2,3.369204622599282,0.06618699962271916,0.3144993002207058,False,False,Not Significant
O43324,EEF1E1,1.8616769963880744,0.3910022189557705,0.575529253681259,False,False,Not Significant
O43390,HNRNPR,1.1140633582685115,0.17584601668404976,0.44155582390206916,False,False,Not Significant
O43592,XPOT,2.2156033708241543,0.1485165641042256,0.44155582390206916,False,False,Not Significant
O43670,ZNF207,-0.6581489893079446,0.20084671046962135,0.4471681478380249,False,False,Not Significant
O43684,BUB3,0.3793520420230969,0.30275291948169986,0.5526756597672273,False,False,Not Significant
O43707,ACTN4,1.7762579452043479,0.4919106532075993,0.6534466929549896,False,False,Not Significant
O43790;O43790,KRT86,0.7362330167838813,0.621965861789498,0.7450961593011245,False,False,Not Significant
O43795,MYO1B,1.8253335612496215,0.41383288299891163,0.5926675734748619,False,False,Not Significant
O43809,NUDT21,-1.60884853231277,0.4282973798883035,0.6028519780535166,False,False,Not Significant
O60256,PRPSAP2,1.5441586749964507,0.3910022189557704,0.575529253681259,False,False,Not Significant
O60264,SMARCA5,4.629030060097934,0.05827599903046556,0.31175406269954126,False,False,Not Significant
O60506,SYNCRIP,0.49508919917198746,0.583149626760538,0.7199127040042911,False,False,Not Significant
O60524,NEMF,4.253211592232898,0.008020400702211923,0.14940468172861815,True,False,Exploratory (Raw P < 0.05)
O60684,KPNA6,1.265568728751255,0.6542084347660103,0.7683030059830661,False,False,Not Significant
O60739,EIF1B,-0.8487106358807832,0.5951194830886924,0.7289698858595056,False,False,Not Significant
O60749,SNX2,4.098503646787207,0.009177009665625672,0.16659802162212758,True,False,Exploratory (Raw P < 0.05)
O60762,DPM1,-0.0671223289688827,0.914336643790488,0.9512863244726899,False,False,Not Significant
O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14,0.659696424856774,0.02160222954356207,0.2593677245526306,False,False,Not Significant
O60832,DKC1,1.7779243632700794,0.20510391465158315,0.45027464053742905,False,False,Not Significant
O60841,EIF5B,-1.0268149413001115,0.20280106559613406,0.44731105474238947,False,False,Not Significant
O60869,EDF1,0.6747788247427717,0.32386850881929347,0.5692060414898135,False,False,Not Significant
O60870,KIN,1.4541610118286794,0.5540113308292426,0.6985574750260084,False,False,Not Significant
O60885;Q15059,BRD4;BRD3,4.723167801634974,0.06172632381577407,0.31175406269954126,False,False,Not Significant
O75131,CPNE3,3.0463344059336084,0.15881417997248157,0.44155582390206916,False,False,Not Significant
O75179,ANKRD17,6.258311749936352,5.9645508855075876e-05,0.015274750870785848,True,True,High Confidence (FDR < 0.05)
O75190,DNAJB6,3.9559763899680784,0.07603758401747561,0.3286946155597024,False,False,Not Significant
O75223,GGCT,2.261193956902111,0.24763204826294696,0.4950237671712219,False,False,Not Significant
O75342,ALOX12B,3.3059968402863973,0.18180468048228612,0.44155582390206916,False,False,Not Significant
O75367,MACROH2A1,1.1762672040436275,0.0806773793739273,0.33501222637384476,False,False,Not Significant
O75369,FLNB,2.8329533207715927,0.11652510095321235,0.40145874197019144,False,False,Not Significant
O75390,CS,3.519758222714045,0.09667814287356144,0.357431462947684,False,False,Not Significant
O75394,MRPL33,2.300371735734517,0.14199209746668195,0.44155582390206916,False,False,Not Significant
O75400,PRPF40A,1.1169010269311173,0.017985131361939962,0.23731345420377656,True,False,Exploratory (Raw P < 0.05)
O75436,VPS26A,1.389831393570844,0.3910022189557704,0.575529253681259,False,False,Not Significant
O75439,PMPCB,2.09318955356025,0.29953642965252375,0.5516555761614943,False,False,Not Significant
