PG.Genes,PG.ProteinGroups,PG.ProteinDescriptions,PG.Coverage,PG.Qvalue,QC_Omar_DIA_20260211_Pool_01_R01_S1-B10_1_9120.PG.Quantity,QC_Omar_DIA_20260211_Pool_02_R10_S1-B11_1_9129.PG.Quantity,QC_Omar_DIA_20260211_Pool_03_R19_S1-B12_1_9138.PG.Quantity,alpha_Omar_DIA_20260211_A01_R16_S1-B2_1_9135.PG.Quantity,alpha_Omar_DIA_20260211_A02_R03_S1-A2_1_9122.PG.Quantity,alpha_Omar_DIA_20260211_A03_R06_S1-A5_1_9125.PG.Quantity,alpha_Omar_DIA_20260211_A04_R18_S1-B4_1_9137.PG.Quantity,alpha_Omar_DIA_20260211_A05_R17_S1-B3_1_9136.PG.Quantity,alpha_Omar_DIA_20260211_A06_R05_S1-A4_1_9124.PG.Quantity,alpha_Omar_DIA_20260211_A07_R13_S1-A11_1_9132.PG.Quantity,alpha_Omar_DIA_20260211_A08_R12_S1-A10_1_9131.PG.Quantity,beta_Omar_DIA_20260211_B01_R14_S1-A12_1_9133.PG.Quantity,beta_Omar_DIA_20260211_B02_R08_S1-A7_1_9127.PG.Quantity,beta_Omar_DIA_20260211_B03_R04_S1-A3_1_9123.PG.Quantity,beta_Omar_DIA_20260211_B05_R09_S1-A8_1_9128.PG.Quantity,beta_Omar_DIA_20260211_B06_R15_S1-B1_1_9134.PG.Quantity,beta_Omar_DIA_20260211_B07_R11_S1-A9_1_9130.PG.Quantity,beta_Omar_DIA_20260211_B08_R07_S1-A6_1_9126.PG.Quantity,beta_Omar_DIA_20260211_B09_R02_S1-A1_1_9121.PG.Quantity
1433B_HUMAN,P31946,14-3-3 protein beta/alpha,0.183,0.0,38.2193031311035,37.8428497314453,28.7556495666503,53.2076187133789,38.0685272216796,34.1862716674804,63.7305755615234,42.6930274963378,56.2594604492187,36.2240333557128,53.2853240966796,27.6434955596923,33.4550285339355,34.6567230224609,21.7387657165527,38.604736328125,33.5226669311523,22.992353439331,35.2873878479003
1433E_HUMAN,P62258,14-3-3 protein epsilon,0.263,0.0,11.9144859313964,8.30718803405761,9.91716861724853,21.0311450958251,10.9142007827758,12.7611780166625,12.9214887619018,11.9801797866821,13.7082595825195,8.9045991897583,8.662034034729,7.23354816436767,4.5746636390686,9.91866493225097,5.73441696166992,8.76650810241699,10.5072546005249,8.5996036529541,6.92220020294189
1433G_HUMAN,P61981,14-3-3 protein gamma,0.057,0.0,4.63687896728515,3.21277093887329,2.6574912071228,7.90599107742309,1.6929907798767,3.22850251197814,4.16060161590576,3.35066723823547,2.98545050621032,4.9758710861206,2.41857767105102,3.20501112937927,3.35348105430603,3.26880145072937,4.62982845306396,3.43711876869201,1.69300389289855,1.60573267936706,3.47060132026672
1433S_HUMAN,P31947,14-3-3 protein sigma,0,0.00844205679201842,272.379241943359,168.241409301757,278.11474609375,,,,224.590255737304,,422.121978759765,213.622238159179,,,195.198928833007,,,,141.414611816406,,170.731491088867
1433T_HUMAN,P27348,14-3-3 protein theta,0.351,0.0,21.2372798919677,18.8776035308837,26.8853130340576,29.8579769134521,26.2149753570556,36.3337173461914,40.2099876403808,34.2443237304687,35.1118087768554,37.0318069458007,32.6689376831054,16.8467807769775,15.1349420547485,24.6460285186767,15.0225925445556,17.6463146209716,18.0179367065429,14.9868898391723,21.611982345581
1433Z_HUMAN,P63104,14-3-3 protein zeta/delta,0.249,0.0,11.9416236877441,12.7876720428466,9.48861694335937,15.3335256576538,16.2339935302734,14.1774444580078,12.9414138793945,13.1065101623535,10.3931064605712,9.99494838714599,10.9389667510986,,7.64224243164062,8.14592456817627,10.8032531738281,6.20501136779785,9.56920623779296,8.07965850830078,8.77030658721923
2AAA_HUMAN,P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,0.098,0.0,7.94330024719238,32.3647537231445,23.4376735687255,32.9263725280761,42.8357200622558,39.8476829528808,33.3098106384277,27.1030406951904,28.3461227416992,32.3045349121093,27.8208446502685,15.2519130706787,13.5526161193847,32.4568176269531,28.1063842773437,24.8040008544921,22.6656970977783,28.0592899322509,27.9457244873046
3MG_HUMAN,P29372,DNA-3-methyladenine glycosylase,0.081,0.0,4.17741060256958,3.0166380405426,2.53881192207336,2.7658531665802,5.29691123962402,4.42134809494018,,4.47642517089843,6.83462476730346,5.33746814727783,4.53841352462768,4.97130441665649,4.50114917755126,5.31259250640869,,5.28523731231689,4.19729042053222,4.6511287689208896,3.42198753356933
4F2_HUMAN,P08195,Amino acid transporter heavy chain SLC3A2,0.046,0.0,21.5267944335937,9.50847053527832,10.0982818603515,13.2654380798339,12.9581708908081,9.99092292785644,17.7387561798095,10.8428363800048,18.5920829772949,6.03261137008667,13.8464670181274,18.8248329162597,6.79825544357299,13.1064281463623,11.8794088363647,14.3813600540161,5.03516149520874,10.5042133331298,10.2635412216186
A0A0B4J2B5_HUMAN;A0AAG2SVT6_HUMAN,A0A0B4J2B5;A0AAG2SVT6,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment);Ig-like domain-containing protein,19.4%;19.8%,0.0,,2.34924864768981,1.57939827442169,8.8310432434082,,,,,3.45722770690917,2.74491429328918,6.62012195587158,,11.0295486450195,1.48972058296203,4.15436267852783,,,5.79333353042602,
A0A140TA64_HUMAN;KR412_HUMAN;KRA46_HUMAN;KRA47_HUMAN;KRA45_HUMAN,A0A140TA64;Q9BQ66;Q9BYQ5;Q9BYR0;Q9BYR2,Uncharacterized protein;Keratin-associated protein 4-12;Keratin-associated protein 4-6;Keratin-associated protein 4-7;Keratin-associated protein 4-5,0%;0%;0%;0%;0%,0.00398724082934609,,,,,,,,,33.41304397583,,,,,2.69049668312072,,,,,
A0AAG2SUK6_HUMAN;RM23_HUMAN,A0AAG2SUK6;Q16540,Large ribosomal subunit protein uL23m,15%;15%,0.0,18.5441646575927,13.0700502395629,10.7452955245971,15.4320888519287,14.0501317977905,10.8355464935302,14.5854015350341,13.6856851577758,11.6909856796264,17.8728427886962,16.9332408905029,14.8787040710449,22.395278930664,14.4930248260498,13.8649816513061,18.5650634765625,13.0890827178955,14.4033346176147,17.0777187347412
A2MG_HUMAN,P01023,Alpha-2-macroglobulin,0.022,0.0,14.0344533920288,11.0887794494628,10.5724735260009,16.7668743133544,6.3515887260437,11.1707468032836,5.49032020568847,8.20933437347412,7.48652553558349,19.5107231140136,13.7944774627685,11.9597635269165,8.56805896759033,12.0849018096923,14.7327318191528,17.6701049804687,11.9706497192382,11.173846244812,15.9483242034912
AATF_HUMAN,Q9NY61,Protein AATF,0,0.00469116497263487,,,,,,,2.38685131072998,2.72167301177978,,3.93195223808288,3.60348415374755,2.25692057609558,,1.72196829319,,,,1.34269487857818,
