PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Significance_Tier,QC_Omar_DIA_20260211_Pool_01_R01_S1-B10_1_9120.PG.Quantity,QC_Omar_DIA_20260211_Pool_02_R10_S1-B11_1_9129.PG.Quantity,QC_Omar_DIA_20260211_Pool_03_R19_S1-B12_1_9138.PG.Quantity,alpha_Omar_DIA_20260211_A01_R16_S1-B2_1_9135.PG.Quantity,alpha_Omar_DIA_20260211_A02_R03_S1-A2_1_9122.PG.Quantity,alpha_Omar_DIA_20260211_A03_R06_S1-A5_1_9125.PG.Quantity,alpha_Omar_DIA_20260211_A04_R18_S1-B4_1_9137.PG.Quantity,alpha_Omar_DIA_20260211_A05_R17_S1-B3_1_9136.PG.Quantity,alpha_Omar_DIA_20260211_A06_R05_S1-A4_1_9124.PG.Quantity,alpha_Omar_DIA_20260211_A07_R13_S1-A11_1_9132.PG.Quantity,alpha_Omar_DIA_20260211_A08_R12_S1-A10_1_9131.PG.Quantity,beta_Omar_DIA_20260211_B01_R14_S1-A12_1_9133.PG.Quantity,beta_Omar_DIA_20260211_B02_R08_S1-A7_1_9127.PG.Quantity,beta_Omar_DIA_20260211_B03_R04_S1-A3_1_9123.PG.Quantity,beta_Omar_DIA_20260211_B05_R09_S1-A8_1_9128.PG.Quantity,beta_Omar_DIA_20260211_B06_R15_S1-B1_1_9134.PG.Quantity,beta_Omar_DIA_20260211_B07_R11_S1-A9_1_9130.PG.Quantity,beta_Omar_DIA_20260211_B08_R07_S1-A6_1_9126.PG.Quantity,beta_Omar_DIA_20260211_B09_R02_S1-A1_1_9121.PG.Quantity
1433B_HUMAN,0.5015646454824632,0.010862587363197847,0.2719824759016076,Tier 3: Statistical Trend (Raw P),4.834502375783443,5.290912402948335,4.935878723330519,5.665808486879712,5.128998318418209,4.878494283885047,5.877408493834414,5.490785370036054,5.770934940501541,5.240894843923128,5.833784865038576,4.840135660076939,4.993476474468452,5.259824217342237,4.442886474438196,5.379895619842935,5.063160809004385,4.70006520743049,5.1951479760533426
1433E_HUMAN,0.5434654452673016,0.012345345843131844,0.29729245606555754,Tier 3: Statistical Trend (Raw P),3.260445041580499,3.2287334753416386,3.4868985374177717,4.369538998056207,3.425698161831174,3.536918765216026,3.6686047478818193,3.7374261005827902,3.8136507136572972,3.329112559174259,3.3375797145704658,3.041514279493291,2.383834249839868,3.5458889147647916,2.694516088507579,3.3545462017273637,3.480965750789001,3.3712772466903558,2.998263467019374
1433G_HUMAN,0.13748130271799686,0.5570107246805237,0.9452072811842778,Not Significant,2.117777443918192,2.08365003777919,1.9016274231599941,3.069479176534219,1.3286913444825441,1.8810769043874904,2.2547558617465127,2.1540093199438908,1.9428098333566273,2.598621938848347,1.8251342707199474,2.0721096188583106,2.0331309372439654,2.1761617458843103,2.43804323814052,2.2073678555446152,1.3994036728017472,1.457053548090575,2.1714576117115607
1433S_HUMAN,0.25705718971780067,0.8975233159412326,0.9895248192582636,Not Significant,7.623608093180552,7.414503919039143,8.166750455071973,0.13750352374993502,0.13750352374993502,0.13750352374993502,7.676960879342429,0.13750352374993502,8.655343869299294,7.768902673262472,0.13750352374993502,0.13750352374993502,7.500103373253455,0.13750352374993502,0.13750352374993502,0.13750352374993502,7.106578185058565,0.13750352374993502,7.438068345849769
1433T_HUMAN,0.8068405554454543,3.153911401643397e-05,0.004562658494377448,Tier 3: Statistical Trend (Raw P),4.026676576969233,4.324122493214324,4.842126771132718,4.854346318418061,4.609313283139532,4.963484482819348,5.22726105478356,5.180543751218762,5.106621671624081,5.2718801683174945,5.14384125899352,4.157591957604362,3.9029401931403007,4.783257865727913,3.939105354590484,4.291058673660962,4.204121727004156,4.111959117652515,4.512532656370031
1433Z_HUMAN,0.8589157859070684,0.06618747786913723,0.5454183302887131,Not Significant,3.2633851750791587,3.796099952963335,3.4289682344994667,3.93940436720721,3.9538295667820935,3.676284408720279,3.6706530037373915,3.85773449240913,3.4465937953242727,3.4800152034717367,3.6442628586215986,0.13750352374993502,3.0087115634503814,3.288455970967937,3.499712095029299,2.9130581488859817,3.3586621433664225,3.2902454939921695,3.3011024695750417
2AAA_HUMAN,0.39159546579639226,0.06022774650606746,0.5328089749802671,Not Significant,2.7489076892308044,5.071539220661018,4.651517687067027,4.990818279236045,5.294618321597366,5.092587907244652,4.963610450019726,4.853577452603216,4.807776471226073,5.080305816989369,4.919181372131117,4.022537647805763,3.7548448727677806,5.167760426616649,4.798407382162091,4.760840199564277,4.519058224310135,4.977331933700346,4.868931657749389
3MG_HUMAN,-0.03788861472701521,0.9317480815049117,0.9895248192582636,Not Significant,2.0033369534675654,2.0147344569745886,1.853653833698048,1.8427707276995222,2.5184972222267223,2.224960349128325,0.13750352374993502,2.487993678241095,2.9092027739790223,2.6836012773929148,2.529231227212291,2.5780461190748523,2.364969499766117,2.7484678839070593,0.13750352374993502,2.7145462220843677,2.339348229779319,2.5983392208595633,2.155648998224737
4F2_HUMAN,0.11417463174771525,0.6719449765287724,0.9675477972981628,Not Significant,4.045020132613466,3.404011353017421,3.510698454215196,3.7449735494966627,3.6520196469599653,3.217906242165762,4.094593526477305,3.604820440802311,4.226087269448772,2.834117387224059,3.959870252361826,4.309236801830521,2.8619638299324714,3.917584417731177,3.6251086988599117,4.012526320884736,2.5536927733864547,3.634400112083229,3.5064783062464397
A0A0B4J2B5_HUMAN;A0AAG2SVT6_HUMAN,0.02333131945397149,0.9734657745525165,0.9895248192582636,Not Significant,0.13750352374993502,1.7520073954065463,1.3930109685730745,3.2110013574452476,0.13750352374993502,0.13750352374993502,0.13750352374993502,0.13750352374993502,2.102337707990514,1.9220880476788775,2.9930918678688494,0.13750352374993502,3.4818893905211343,1.380713753886936,2.311863867588435,0.13750352374993502,0.13750352374993502,2.8674014133552133,0.13750352374993502
